Reference	Genes in Ref	Genes	Common	Recall	Precision
SAM-Frank	5796	1506	849	0.14775495997215454	0.5637450199203188
SAM-Haniffa	1586	1506	349	0.22721354166666666	0.23173970783532535
SAM-Ingersoll	4795	1506	767	0.16164383561643836	0.5092961487383798
SAM-Wong	2929	1506	436	0.15144147273358805	0.28950863213811423
limma-Frank	3931	1506	771	0.19866013913939706	0.5119521912350598
limma-Haniffa	1920	1506	432	0.23101604278074866	0.2868525896414343
limma-Ingersoll	4202	1506	797	0.19195568400770713	0.5292164674634794
limma-Wong	3454	1506	582	0.1709753231492362	0.38645418326693226
int-Frank	2803	1506	479	0.17399200871776244	0.31806108897742363
int-Haniffa	1178	1506	298	0.2641843971631206	0.19787516600265603
int-Ingersoll	2776	1506	478	0.17534849596478358	0.31739707835325365
int-Wong	1998	1506	388	0.19917864476386038	0.25763612217795484
